# Description: Discretized version of keijzer12 GP benchmark.
# Logic: NIA
# Solution: res = x*x*x*x - x*x*x + y*y/2 - y
x:Int; y:Int; res:Int
-3; -3; 115
-3; -2; 112
-3; -1; 109
-3; 0; 108
-3; 1; 107
-3; 2; 108
-3; 3; 109
-2; -3; 31
-2; -2; 28
-2; -1; 25
-2; 0; 24
-2; 1; 23
-2; 2; 24
-2; 3; 25
-1; -3; 9
-1; -2; 6
-1; -1; 3
-1; 0; 2
-1; 1; 1
-1; 2; 2
-1; 3; 3
0; -3; 7
0; -2; 4
0; -1; 1
0; 0; 0
0; 1; -1
0; 2; 0
0; 3; 1
1; -3; 7
1; -2; 4
1; -1; 1
1; 0; 0
1; 1; -1
1; 2; 0
1; 3; 1
2; -3; 15
2; -2; 12
2; -1; 9
2; 0; 8
2; 1; 7
2; 2; 8
2; 3; 9
3; -3; 61
3; -2; 58
3; -1; 55
3; 0; 54
3; 1; 53
3; 2; 54
3; 3; 55
