# Optimal: x*x*x*x + y*y*y + x*x + y
x:Int; y:Int; res:Int
-3; -3; 60
-3; -2; 80
-3; -1; 88
-3; 0; 90
-3; 1; 92
-3; 2; 100
-3; 3; 120
-2; -3; -10
-2; -2; 10
-2; -1; 18
-2; 0; 20
-2; 1; 22
-2; 2; 30
-2; 3; 50
-1; -3; -28
-1; -2; -8
-1; -1; 0
-1; 0; 2
-1; 1; 4
-1; 2; 12
-1; 3; 32
0; -3; -30
0; -2; -10
0; -1; -2
0; 0; 0
0; 1; 2
0; 2; 10
0; 3; 30
1; -3; -28
1; -2; -8
1; -1; 0
1; 0; 2
1; 1; 4
1; 2; 12
1; 3; 32
2; -3; -10
2; -2; 10
2; -1; 18
2; 0; 20
2; 1; 22
2; 2; 30
2; 3; 50
3; -3; 60
3; -2; 80
3; -1; 88
3; 0; 90
3; 1; 92
3; 2; 100
3; 3; 120
