# Optimal: 3*x*x*x*x - 2*y*y*y + 6*x*x + 3*y - 4
x:Int; y:Int; res:Int
-3; -3; 338
-3; -2; 303
-3; -1; 292
-3; 0; 293
-3; 1; 294
-3; 2; 283
-3; 3; 248
-2; -3; 113
-2; -2; 78
-2; -1; 67
-2; 0; 68
-2; 1; 69
-2; 2; 58
-2; 3; 23
-1; -3; 50
-1; -2; 15
-1; -1; 4
-1; 0; 5
-1; 1; 6
-1; 2; -5
-1; 3; -40
0; -3; 41
0; -2; 6
0; -1; -5
0; 0; -4
0; 1; -3
0; 2; -14
0; 3; -49
1; -3; 50
1; -2; 15
1; -1; 4
1; 0; 5
1; 1; 6
1; 2; -5
1; 3; -40
2; -3; 113
2; -2; 78
2; -1; 67
2; 0; 68
2; 1; 69
2; 2; 58
2; 3; 23
3; -3; 338
3; -2; 303
3; -1; 292
3; 0; 293
3; 1; 294
3; 2; 283
3; 3; 248
